suspect_id,name,occupation,nationality,age,height_cm,weight_kg,total_spent,num_transactions
1,William Jennings,"Designer, television/film set",Germany,56.0,165,52.0,6494.72,53
2,Lesley Wilson-Newman,"Engineer, communications",Italy,69.0,188,90.0,4914.24,43
3,Abdul Hopkins,Trade union research officer,Canada,46.0,154,94.0,2887.32,24
4,Mrs Lauren Green,Corporate investment banker,Isle of Man,32.0,1.71,67.0,32497.94,28
5,Tina Foster,Fitness centre manager,Portugal,60.0,178,96.0,4355.72,30
6,Nigel Edwards,Associate Professor,Costa Rica,25.0,152,85.0,4372.07,35
7,Abdul Burton-Patterson,Quarry manager,Isle of Man,38.0,161,96.0,4863.62,41
8,Sarah Reed-Walsh,Meteorologist,Macao,56.0,175,71.0,7362.33,55
9,Miss Olivia Bryan,"Surveyor, building",Singapore,36.0,165,83.0,2018.16,15
10,Dr Lee Green,"Civil engineer, contracting",New Zealand,40.0,186,96.0,7050.73,54
11,Eleanor Baker,"Scientist, clinical (histocompatibility and immunogenetics)",Uruguay,28.0,171,57.0,7129.71,55
12,Wayne Gough,Company secretary,Latvia,28.0,178,89.0,4526.85,39
13,Bernard Wilkinson-Simpson,Higher education careers adviser,Tunisia,41.0,163,98.0,5130.27,45
14,Mrs Julia Harris,Charity officer,Thailand,53.0,177,93.0,30904.300000000003,25
15,Dylan Young,"Designer, multimedia",Saint Pierre and Miquelon,57.0,154,68.0,7345.77,54
16,Ms Lindsey Rees,Government social research officer,Saint Lucia,4100.0,196,91.0,6460.849999999999,20
17,Geoffrey Griffin,"Production assistant, television",Bahamas,20.0,198,90.0,88288.56,36
18,Megan Taylor,Scientific laboratory technician,Romania,39.0,179,86.0,4722.24,38
19,Miss Carole Woods,Data processing manager,Burundi,19.0,195,55.0,7323.14,60
20,Ms Sheila Evans,Press sub,Maldives,41.0,154,75.0,4868.31,43
21,Aaron Harrison,"Chemist, analytical",Cote d'Ivoire,61.0,161,83.0,3999.92,31
22,Brandon Hammond,Environmental education officer,Monaco,47.0,165,94.0,2937.88,23
23,Graham Wilkinson,"Production designer, theatre/television/film",Greece,55.0,175,55.0,11907.09,52
24,Amanda Hall,Magazine journalist,Panama,19.0,175,86.0,37767.259999999995,27
25,Frances Holmes-Lloyd,Aid worker,Lesotho,38.0,197,82.0,5529.49,43
26,Mrs Pauline Fuller,Patent examiner,Malta,50.0,170,71.0,2634.23,21
27,Dr Marc Phillips,Astronomer,Honduras,29.0,188,70.0,7308.2300000000005,59
28,Ruth Hawkins,Occupational hygienist,Germany,39.0,185,55.0,4023.72,30
29,Ms Jill Morley,Retail buyer,Zimbabwe,61.0,182,55.0,5330.68,51
30,Bernard Wilkins,Midwife,China,42.0,179,97.0,5773.61,39
31,Catherine Morris,Fashion designer,Kuwait,66.0,186,53.0,6293.08,54
32,Wayne Morris,Nature conservation officer,United States Minor Outlying Islands,44.0,172,79.0,2805.21,20
33,Dr Paula Lloyd,Ceramics designer,Martinique,59.0,159,60.0,3909.06,32
34,Kathryn Hughes,Minerals surveyor,Guam,45.0,154,79.0,7292.55,56
35,Mr William Gould,Environmental manager,Mayotte,33.0,185,80.0,3167.17,24
36,Bethan Oliver,Air broker,Guinea,32.0,183,73.0,14072.69,39
37,Lorraine Palmer,"Investment banker, operational",Philippines,64.0,180,58.0,12286.9,30
38,Arthur Smith,Child psychotherapist,Sierra Leone,68.0,159,52.0,6580.73,57
39,Christopher Davies,Legal executive,Trinidad and Tobago,61.0,168,80.0,3889.49,31
40,Bethan Young,Dancer,Saint Helena,69.0,181,89.0,4333.55,36
41,Dr Danny Cook,"Copywriter, advertising",Pitcairn Islands,20.0,150,86.0,10271.18,53
42,Marion Steele-Harper,Arboriculturist,Norway,54.0,154,85.0,6900.67,51
43,Wayne Page-Carter,Historic buildings inspector/conservation officer,Spain,68.0,194,73.0,1942.95,17
